depart,arrivee,prix,duree,type_client,demande
CDG,Paris Centre,45,45,Tous,fort
CDG,Paris 1er,42,45,Touriste,fort
CDG,Paris 2e,42,45,Business,moyen
CDG,Paris 3e,42,45,Touriste,moyen
CDG,Paris 4e,43,45,Touriste,fort
CDG,Paris 5e,44,48,Touriste,moyen
CDG,Paris 6e,45,50,Luxe,moyen
CDG,Paris 7e,48,52,Touriste,fort
CDG,Paris 8e,50,50,Business,fort
CDG,Paris 9e,44,48,Business,moyen
CDG,Paris 10e,40,42,Business,fort
CDG,Paris 11e,44,48,Touriste,moyen
CDG,Paris 12e,45,50,Business,moyen
CDG,Paris 13e,46,52,Business,moyen
CDG,Paris 14e,47,54,Business,moyen
CDG,Paris 15e,48,55,Business,moyen
CDG,Paris 16e,55,55,Luxe,fort
CDG,Paris 17e,46,50,Business,moyen
CDG,Paris 18e,38,38,Touriste,moyen
CDG,Paris 19e,36,35,Business,faible
CDG,Paris 20e,40,42,Business,faible
CDG,Disneyland Paris,60,40,Famille,fort
CDG,Versailles,75,65,Touriste,fort
CDG,La Défense,55,50,Business,fort
CDG,Neuilly-sur-Seine,50,45,Luxe,fort
CDG,Boulogne-Billancourt,55,55,Business,moyen
CDG,Levallois-Perret,48,48,Business,moyen
CDG,Courbevoie,50,48,Business,moyen
CDG,Nanterre,45,45,Business,moyen
CDG,Saint-Denis,30,25,Business,moyen
CDG,Vincennes,45,50,Business,faible
CDG,Montreuil,42,48,Business,faible
CDG,Créteil,50,55,Business,faible
CDG,Issy-les-Moulineaux,52,55,Business,moyen
CDG,Gare du Nord,40,35,Business,fort
CDG,Gare de Lyon,50,50,Business,moyen
CDG,Gare Montparnasse,55,55,Business,moyen
CDG,Gare de l'Est,42,40,Business,moyen
CDG,Gare Saint-Lazare,46,48,Business,moyen
CDG,Ritz Paris,65,50,Luxe,fort
CDG,Four Seasons George V,65,50,Luxe,fort
CDG,Peninsula Paris,65,52,Luxe,moyen
CDG,Shangri-La Paris,65,55,Luxe,moyen
CDG,Plaza Athénée,65,50,Luxe,fort
CDG,Mandarin Oriental Paris,65,50,Luxe,moyen
CDG,Hotel Le Bristol,65,50,Luxe,moyen
CDG,Le Meurice,65,50,Luxe,moyen
CDG,Champs-Élysées,50,50,Touriste,fort
CDG,Tour Eiffel,50,52,Touriste,fort
CDG,Louvre,45,47,Touriste,fort
CDG,Opéra,44,46,Touriste,moyen
CDG,Marais,43,45,Touriste,moyen
CDG,Saint-Germain-des-Prés,47,50,Touriste,moyen
CDG,Parc Astérix,45,25,Famille,moyen
CDG,Fontainebleau,90,75,Touriste,moyen
CDG,Chantilly,50,30,Touriste,moyen
CDG,Terminal 1,35,40,Tous,fort
CDG,Terminal 2E,35,40,Tous,fort
CDG,Terminal 2F,35,40,Tous,fort
CDG,Terminal 3,35,38,Tous,moyen
Orly,Paris Centre,38,35,Tous,fort
Orly,Paris 1er,36,33,Touriste,fort
Orly,Paris 4e,37,34,Touriste,moyen
Orly,Paris 5e,36,32,Touriste,moyen
Orly,Paris 6e,37,33,Touriste,moyen
Orly,Paris 7e,36,32,Touriste,fort
Orly,Paris 8e,42,40,Business,fort
Orly,Paris 13e,30,25,Business,moyen
Orly,Paris 14e,32,28,Business,moyen
Orly,Paris 15e,33,30,Business,moyen
Orly,Paris 16e,42,40,Luxe,fort
Orly,Disneyland Paris,65,55,Famille,fort
Orly,Versailles,55,45,Touriste,fort
Orly,La Défense,50,40,Business,fort
Orly,Gare de Lyon,35,30,Business,fort
Orly,Gare Montparnasse,35,25,Business,fort
Orly,Gare du Nord,45,40,Business,moyen
Orly,Neuilly-sur-Seine,45,40,Luxe,moyen
Orly,Ritz Paris,55,40,Luxe,moyen
Orly,Four Seasons George V,55,40,Luxe,moyen
Orly,Plaza Athénée,55,40,Luxe,moyen
Orly,Tour Eiffel,36,32,Touriste,fort
Orly,Champs-Élysées,40,38,Touriste,fort
Orly,Louvre,38,35,Touriste,moyen
Orly,Terminal 1,30,30,Tous,moyen
